experiment;asymptotic;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time
release-0-bounded-lhs-0-always;baseline;3.182;3.092;0.059;2.84738
release-0-bounded-lhs-0-always;2n;7.888;7.689;0.120;7.15391
release-0-bounded-lhs-0-always;2l;5.717;5.627;0.061;5.12559
release-0-bounded-lhs-0-always;4n;13.969;13.871;0.080;11.9952
release-0-bounded-lhs-0-always;4l;10.957;10.864;0.070;9.87488
release-0-bounded-lhs-0-always;baseline;2.293;2.250;0.021;2.0048
release-0-bounded-lhs-0-always;2n;5.967;5.914;0.039;5.34957
release-0-bounded-lhs-0-always;2l;5.738;5.657;0.055;5.1318
release-0-bounded-lhs-0-always;4n;15.100;14.895;0.133;12.9981
release-0-bounded-lhs-0-always;4l;12.369;12.162;0.129;11.1794
release-0-bounded-lhs-0-always;baseline;2.532;2.488;0.030;2.2254
release-0-bounded-lhs-0-always;2n;6.771;6.599;0.077;6.08171
release-0-bounded-lhs-0-always;2l;5.830;5.726;0.067;5.21934
release-0-bounded-lhs-0-always;4n;15.443;15.197;0.155;13.3554
release-0-bounded-lhs-0-always;4l;12.340;12.117;0.139;11.1621
release-0-bounded-lhs-0-always;baseline;2.539;2.499;0.030;2.24648
release-0-bounded-lhs-0-always;2n;5.707;5.640;0.038;5.08704
release-0-bounded-lhs-0-always;2l;4.778;4.735;0.031;4.24677
release-0-bounded-lhs-0-always;4n;12.864;12.788;0.062;11.0414
release-0-bounded-lhs-0-always;4l;10.185;10.108;0.060;9.13136
release-0-bounded-lhs-0-always;baseline;2.817;2.740;0.041;2.47801
release-0-bounded-lhs-0-always;2n;6.149;6.072;0.051;5.50673
release-0-bounded-lhs-0-always;2l;5.872;5.792;0.053;5.28759
release-0-bounded-lhs-0-always;4n;13.463;13.360;0.079;11.5548
release-0-bounded-lhs-0-always;4l;11.648;11.510;0.083;10.5049
release-0-bounded-lhs-0-always;baseline;2.610;2.571;0.029;2.30723
release-0-bounded-lhs-0-always;2n;6.512;6.434;0.054;5.83152
release-0-bounded-lhs-0-always;2l;5.712;5.584;0.071;5.09806
release-0-bounded-lhs-0-always;4n;14.322;14.195;0.090;12.3578
release-0-bounded-lhs-0-always;4l;10.570;10.475;0.075;9.5049
release-0-bounded-lhs-0-always;baseline;2.273;2.240;0.025;1.9953
release-0-bounded-lhs-0-always;2n;5.823;5.780;0.030;5.23634
release-0-bounded-lhs-0-always;2l;4.948;4.891;0.031;4.39501
release-0-bounded-lhs-0-always;4n;13.728;13.617;0.082;11.7906
release-0-bounded-lhs-0-always;4l;11.518;11.394;0.094;10.3796
release-0-bounded-lhs-0-always;baseline;2.835;2.768;0.031;2.50007
release-0-bounded-lhs-0-always;2n;6.402;6.309;0.059;5.74231
release-0-bounded-lhs-0-always;2l;5.437;5.357;0.060;4.84398
release-0-bounded-lhs-0-always;4n;14.520;14.358;0.111;12.5186
release-0-bounded-lhs-0-always;4l;13.120;12.724;0.180;11.8645
release-0-bounded-lhs-0-always;baseline;2.561;2.521;0.031;2.25598
release-0-bounded-lhs-0-always;2n;6.132;6.073;0.040;5.49872
release-0-bounded-lhs-0-always;2l;5.154;5.099;0.041;4.58677
release-0-bounded-lhs-0-always;4n;13.228;13.134;0.069;11.3408
release-0-bounded-lhs-0-always;4l;11.070;10.976;0.072;9.95884
release-0-bounded-lhs-0-always;baseline;2.574;2.537;0.024;2.27524
release-0-bounded-lhs-0-always;2n;5.844;5.794;0.041;5.22596
release-0-bounded-lhs-0-always;2l;5.376;5.280;0.052;4.77657
release-0-bounded-lhs-0-always;4n;14.213;14.118;0.068;12.311
release-0-bounded-lhs-0-always;4l;11.624;11.491;0.099;10.4862
release-0-bounded-lhs-0-until;baseline;1.860;1.825;0.026;1.64981
release-0-bounded-lhs-0-until;2n;4.093;4.044;0.037;3.6921
release-0-bounded-lhs-0-until;2l;3.619;3.577;0.029;3.24066
release-0-bounded-lhs-0-until;4n;8.543;8.473;0.059;7.56163
release-0-bounded-lhs-0-until;4l;7.916;7.836;0.064;7.15692
release-0-bounded-lhs-0-until;baseline;1.816;1.784;0.021;1.60758
release-0-bounded-lhs-0-until;2n;3.974;3.918;0.027;3.56503
release-0-bounded-lhs-0-until;2l;3.677;3.630;0.032;3.29186
release-0-bounded-lhs-0-until;4n;8.748;8.667;0.055;7.76426
release-0-bounded-lhs-0-until;4l;7.991;7.916;0.056;7.23203
release-0-bounded-lhs-0-until;baseline;1.728;1.698;0.020;1.53239
release-0-bounded-lhs-0-until;2n;4.049;4.008;0.027;3.65834
release-0-bounded-lhs-0-until;2l;3.724;3.659;0.035;3.31859
release-0-bounded-lhs-0-until;4n;8.484;8.416;0.049;7.51386
release-0-bounded-lhs-0-until;4l;7.479;7.416;0.050;6.75257
release-0-bounded-lhs-0-until;baseline;2.221;2.154;0.037;1.98915
release-0-bounded-lhs-0-until;2n;6.026;5.666;0.126;5.5018
release-0-bounded-lhs-0-until;2l;3.687;3.641;0.039;3.30678
release-0-bounded-lhs-0-until;4n;9.032;8.954;0.059;8.03492
release-0-bounded-lhs-0-until;4l;8.033;7.951;0.063;7.26816
release-0-bounded-lhs-0-until;baseline;1.723;1.693;0.018;1.5216
release-0-bounded-lhs-0-until;2n;4.332;4.275;0.040;3.91637
release-0-bounded-lhs-0-until;2l;3.681;3.637;0.035;3.29629
release-0-bounded-lhs-0-until;4n;8.728;8.653;0.058;7.74037
release-0-bounded-lhs-0-until;4l;7.868;7.789;0.056;7.1095
release-0-bounded-lhs-0-until;baseline;1.768;1.738;0.018;1.56914
release-0-bounded-lhs-0-until;2n;3.831;3.793;0.026;3.4479
release-0-bounded-lhs-0-until;2l;3.602;3.558;0.033;3.22377
release-0-bounded-lhs-0-until;4n;9.675;9.556;0.070;8.59294
release-0-bounded-lhs-0-until;4l;8.301;8.217;0.059;7.52648
release-0-bounded-lhs-0-until;baseline;1.665;1.639;0.019;1.47301
release-0-bounded-lhs-0-until;2n;4.280;4.220;0.045;3.86433
release-0-bounded-lhs-0-until;2l;3.683;3.634;0.036;3.2913
release-0-bounded-lhs-0-until;4n;9.332;9.229;0.080;8.30566
release-0-bounded-lhs-0-until;4l;7.722;7.662;0.047;7.00683
release-0-bounded-lhs-0-until;baseline;1.741;1.715;0.015;1.55167
release-0-bounded-lhs-0-until;2n;3.928;3.885;0.031;3.53927
