experiment;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time;native real time;native user time;native sys time;native trigger time;native meval time
1;6.988;4.786;2.150;2.85784;5.516;3.325;2.122;0.724603;1.63473
1;6.808;4.694;2.082;2.83657;5.403;3.292;2.072;0.716291;1.61652
1;7.052;4.821;2.194;2.91119;5.303;3.249;2.017;0.7108;1.58557
1;6.806;4.646;2.095;2.77125;5.398;3.271;2.087;0.717177;1.61335
1;6.691;4.576;2.074;2.73729;5.388;3.275;2.074;0.721129;1.62561
1;7.034;4.760;2.181;2.819;5.593;3.394;2.164;0.740992;1.69411
1;7.019;4.818;2.165;2.91452;5.334;3.269;2.020;0.70764;1.59448
1;6.743;4.621;2.087;2.76618;5.581;3.368;2.125;0.743197;1.6524
1;6.917;4.724;2.161;2.79941;5.418;3.275;2.107;0.718311;1.61318
1;6.909;4.733;2.128;2.84666;5.404;3.286;2.079;0.729054;1.61824
2;11.683;9.381;2.223;6.14682;8.258;6.069;2.150;1.52076;3.1345
2;11.840;9.497;2.254;6.27536;8.340;6.141;2.153;1.52746;3.16381
2;11.534;9.296;2.196;6.09537;8.405;6.122;2.193;1.53034;3.1582
2;11.814;9.515;2.272;6.2913;8.302;6.122;2.136;1.53457;3.13212
2;11.664;9.352;2.233;6.12653;8.314;6.127;2.150;1.53795;3.16079
2;11.809;9.573;2.191;6.32614;8.444;6.190;2.159;1.54079;3.22847
2;11.700;9.493;2.154;6.28462;8.370;6.167;2.156;1.51737;3.15558
2;11.922;9.456;2.247;6.19455;8.353;6.134;2.151;1.52369;3.13888
2;11.682;9.412;2.205;6.14733;9.272;6.845;2.358;1.70952;3.5566
2;12.965;10.497;2.438;6.93166;9.396;6.875;2.399;1.72809;3.59813
3;14.533;13.960;0.526;10.8516;7.491;7.020;0.407;1.91533;4.06412
3;13.509;12.922;0.471;9.95406;7.454;7.016;0.404;1.96258;4.08989
3;13.184;12.701;0.462;9.76706;7.171;6.719;0.398;1.85011;3.84206
3;13.047;12.558;0.464;9.63638;7.237;6.820;0.399;1.85056;3.93018
3;13.338;12.824;0.453;9.92447;7.201;6.792;0.388;1.84288;3.93417
