experiment;rewritten real time;rewritten user time;rewritten sys time;native real time;native user time;native sys time
21;774.852;772.755;1.889;13.883;12.741;1.122
21;750.900;749.003;1.720;13.883;12.765;1.108
21;778.038;775.961;1.872;13.995;12.859;1.125
21;766.673;764.614;1.873;13.742;12.642;1.088
21;728.422;726.867;1.511;13.570;12.471;1.090
21;727.729;726.227;1.461;13.644;12.531;1.099
21;738.942;737.099;1.692;14.080;12.936;1.135
21;775.685;773.594;1.881;14.389;13.234;1.142
21;774.146;771.976;1.976;13.753;12.588;1.141
21;737.568;735.772;1.655;13.854;12.731;1.111
22;1141.548;1139.076;2.246;7.037;6.004;1.017
22;1127.315;1124.893;2.168;7.047;5.997;1.031
22;1159.991;1157.350;2.360;7.095;6.043;1.038
22;1106.022;1104.015;1.887;6.934;5.905;1.012
22;1089.149;1087.400;1.691;6.976;5.945;1.014
22;1094.571;1092.819;1.690;6.965;5.940;1.010
22;1134.512;1131.501;2.391;7.052;6.017;1.021
22;1136.027;1133.623;2.206;6.951;5.925;1.014
22;1093.757;1091.976;1.720;6.946;5.922;1.008
22;1087.579;1085.831;1.698;6.900;5.876;1.006
23;903.537;902.332;1.156;3.293;2.671;0.607
23;917.169;915.928;1.179;3.296;2.683;0.602
23;936.428;934.732;1.518;3.335;2.725;0.598
23;950.079;948.260;1.638;3.358;2.731;0.609
23;916.037;914.702;1.250;3.305;2.693;0.599
23;904.477;903.187;1.203;3.333;2.710;0.604
23;904.248;903.038;1.165;3.296;2.684;0.601
23;904.518;903.224;1.212;3.303;2.680;0.606
23;907.970;906.756;1.167;3.309;2.688;0.609
23;911.157;909.931;1.173;3.383;2.742;0.627
24;51.752;51.578;0.156;1.568;1.405;0.150
24;51.747;51.583;0.153;1.563;1.405;0.149
24;51.686;51.517;0.160;1.561;1.403;0.147
24;51.496;51.329;0.155;1.565;1.405;0.150
24;51.710;51.544;0.155;1.555;1.397;0.148
24;51.846;51.680;0.155;1.551;1.390;0.151
24;51.701;51.536;0.156;1.542;1.385;0.148
24;51.708;51.544;0.153;1.571;1.410;0.151
24;51.571;51.407;0.154;1.543;1.386;0.147
24;51.742;51.578;0.154;1.544;1.388;0.147
25;180.341;179.883;0.436;3.087;2.800;0.271
25;180.342;179.894;0.433;2.997;2.726;0.258
25;181.766;181.321;0.423;2.986;2.716;0.257
25;181.459;181.020;0.425;3.012;2.742;0.259
25;183.147;182.699;0.435;3.021;2.746;0.262
25;181.146;180.704;0.427;3.006;2.736;0.259
25;182.732;182.280;0.435;3.257;2.963;0.282
25;183.005;182.564;0.427;3.005;2.734;0.261
25;185.845;185.406;0.414;3.014;2.742;0.260
25;181.186;180.744;0.418;3.025;2.753;0.260
26;986.807;984.335;2.416;56.410;54.657;1.728
26;983.396;980.923;2.417;56.872;55.173;1.684
26;998.475;995.410;2.688;57.813;55.971;1.817
26;1040.058;1036.781;3.040;57.839;55.990;1.818
26;1005.976;1003.251;2.585;56.448;54.698;1.733
26;1032.610;1029.233;3.064;57.793;55.993;1.774
26;1034.986;1031.689;3.044;57.106;55.360;1.725
26;988.641;986.121;2.450;56.421;54.693;1.703
26;985.552;982.935;2.508;57.753;55.944;1.784
26;1038.190;1034.877;3.055;57.876;56.043;1.807
27;480.783;479.315;1.347;11.989;11.094;0.878
27;460.298;459.138;1.110;13.063;12.086;0.965
27;457.128;456.032;1.062;11.624;10.756;0.857
27;453.012;451.917;1.063;11.828;10.963;0.855
27;452.957;451.849;1.082;11.667;10.802;0.855
27;452.626;451.531;1.070;11.687;10.799;0.873
27;452.883;451.791;1.064;11.779;10.905;0.864
27;453.296;452.192;1.082;11.735;10.860;0.864
27;456.979;455.897;1.056;11.654;10.786;0.853
27;455.177;454.071;1.073;11.763;10.877;0.875
28;882.231;880.732;1.441;7.330;6.400;0.913
28;882.825;881.349;1.431;7.384;6.445;0.921
28;884.713;883.214;1.447;7.765;6.797;0.952
28;888.342;886.875;1.417;7.320;6.409;0.892
28;888.501;887.017;1.434;7.312;6.409;0.890
28;884.142;882.662;1.432;7.376;6.468;0.893
28;890.486;889.022;1.423;7.304;6.398;0.893
28;887.286;885.814;1.417;7.414;6.473;0.922
28;883.114;881.638;1.431;7.410;6.485;0.913
28;881.750;880.286;1.424;7.422;6.488;0.919
29;427.755;426.755;0.967;9.792;9.102;0.672
29;428.491;427.499;0.961;9.901;9.185;0.702
29;429.204;428.204;0.976;9.814;9.122;0.683
29;432.588;431.606;0.958;10.675;9.919;0.746
29;431.446;430.430;0.980;9.894;9.197;0.685
29;429.825;428.817;0.982;9.794;9.108;0.673
29;429.627;428.625;0.974;9.824;9.131;0.676
29;429.534;428.535;0.977;9.825;9.130;0.683
29;430.649;429.649;0.971;9.758;9.066;0.682
29;429.447;428.452;0.961;9.875;9.170;0.686
30;543.560;542.312;1.202;7.043;7.002;0.029
30;535.114;533.847;1.229;7.038;6.990;0.032
30;545.144;543.871;1.241;7.042;7.004;0.029
30;548.236;546.961;1.245;7.078;7.039;0.027
30;539.397;538.137;1.227;7.217;7.174;0.031
30;532.188;530.926;1.230;7.125;7.084;0.030
30;533.615;532.365;1.216;7.009;6.971;0.027
30;548.583;547.332;1.223;7.059;7.015;0.028
30;543.775;542.493;1.242;7.036;6.996;0.030
30;539.498;538.240;1.231;7.066;7.020;0.030
