experiment;asymptotic;native real time;native user time;native sys time;native trigger time;native meval time
trigger-a-bounded-lhs-2-historically;baseline;0.459;0.429;0.025;0.208237;0.340131
trigger-a-bounded-lhs-2-historically;2n;1.515;1.471;0.037;0.852465;1.24636
trigger-a-bounded-lhs-2-historically;2l;0.928;0.883;0.033;0.403149;0.702495
trigger-a-bounded-lhs-2-historically;4n;3.213;3.149;0.038;1.7926;2.57363
trigger-a-bounded-lhs-2-historically;4l;1.950;1.889;0.049;0.884765;1.51868
trigger-a-bounded-lhs-2-historically;8n;8.113;8.039;0.057;4.89408;6.67636
trigger-a-bounded-lhs-2-historically;8l;3.911;3.812;0.088;1.80922;3.08232
trigger-a-bounded-lhs-2-historically;16n;19.362;19.228;0.109;12.1313;16.1139
trigger-a-bounded-lhs-2-historically;16l;8.501;8.063;0.201;3.92527;6.63577
trigger-a-bounded-lhs-2-historically;baseline;0.463;0.434;0.019;0.211956;0.344625
trigger-a-bounded-lhs-2-historically;2n;1.529;1.472;0.034;0.87996;1.2669
trigger-a-bounded-lhs-2-historically;2l;1.016;0.967;0.040;0.444444;0.781663
trigger-a-bounded-lhs-2-historically;4n;3.323;3.270;0.042;1.83495;2.67494
trigger-a-bounded-lhs-2-historically;4l;2.037;1.973;0.055;0.926334;1.60261
trigger-a-bounded-lhs-2-historically;8n;8.461;8.366;0.071;5.11096;6.9474
trigger-a-bounded-lhs-2-historically;8l;3.874;3.772;0.086;1.77539;3.03977
trigger-a-bounded-lhs-2-historically;16n;19.817;19.660;0.113;12.3491;16.4662
trigger-a-bounded-lhs-2-historically;16l;7.796;7.575;0.168;3.52101;6.11632
trigger-a-bounded-lhs-2-historically;baseline;0.454;0.425;0.022;0.207396;0.336582
trigger-a-bounded-lhs-2-historically;2n;1.377;1.339;0.028;0.760373;1.12534
trigger-a-bounded-lhs-2-historically;2l;0.888;0.847;0.030;0.377422;0.671124
trigger-a-bounded-lhs-2-historically;4n;3.162;3.119;0.032;1.78831;2.54825
trigger-a-bounded-lhs-2-historically;4l;1.886;1.825;0.049;0.859441;1.4653
trigger-a-bounded-lhs-2-historically;8n;8.074;8.000;0.055;4.86557;6.61798
trigger-a-bounded-lhs-2-historically;8l;3.790;3.689;0.089;1.7355;2.97429
trigger-a-bounded-lhs-2-historically;16n;18.552;18.452;0.086;11.6443;15.4431
trigger-a-bounded-lhs-2-historically;16l;7.026;6.867;0.147;3.17167;5.48854
trigger-a-bounded-lhs-2-historically;baseline;0.468;0.440;0.021;0.21177;0.350066
trigger-a-bounded-lhs-2-historically;2n;1.367;1.331;0.026;0.752463;1.11467
trigger-a-bounded-lhs-2-historically;2l;0.875;0.836;0.034;0.369341;0.661422
trigger-a-bounded-lhs-2-historically;4n;3.103;3.057;0.037;1.7326;2.49515
trigger-a-bounded-lhs-2-historically;4l;1.924;1.862;0.049;0.86711;1.49671
trigger-a-bounded-lhs-2-historically;8n;7.858;7.796;0.053;4.73688;6.45194
trigger-a-bounded-lhs-2-historically;8l;3.755;3.654;0.084;1.70753;2.93316
trigger-a-bounded-lhs-2-historically;16n;18.825;18.731;0.080;11.7795;15.6635
trigger-a-bounded-lhs-2-historically;16l;6.869;6.701;0.150;3.11933;5.33471
trigger-a-bounded-lhs-2-historically;baseline;0.459;0.428;0.023;0.207703;0.339926
trigger-a-bounded-lhs-2-historically;2n;1.377;1.335;0.031;0.75582;1.11691
trigger-a-bounded-lhs-2-historically;2l;0.919;0.876;0.037;0.404855;0.697494
trigger-a-bounded-lhs-2-historically;4n;3.197;3.151;0.039;1.79277;2.56802
trigger-a-bounded-lhs-2-historically;4l;1.935;1.878;0.047;0.870152;1.51528
trigger-a-bounded-lhs-2-historically;8n;8.419;8.310;0.064;5.102;6.93811
