experiment;asymptotic;native real time;native user time;native sys time;native trigger time;native meval time
trigger-a-bounded-lhs-2-historically;baseline;0.538;0.466;0.028;0.236214;0.377266
trigger-a-bounded-lhs-2-historically;2n;1.265;1.224;0.032;0.645035;1.00243
trigger-a-bounded-lhs-2-historically;2l;1.782;1.732;0.036;1.15114;1.54026
trigger-a-bounded-lhs-2-historically;4n;3.994;3.927;0.051;2.47554;3.3677
trigger-a-bounded-lhs-2-historically;4l;5.222;5.125;0.078;3.4411;4.63505
trigger-a-bounded-lhs-2-historically;8n;8.559;8.494;0.051;5.14465;6.98431
trigger-a-bounded-lhs-2-historically;8l;19.158;18.960;0.141;13.5064;18.0823
trigger-a-bounded-lhs-2-historically;16n;16.966;16.844;0.095;9.86254;13.6169
trigger-a-bounded-lhs-2-historically;16l;69.145;68.776;0.288;61.5858;65.0683
trigger-a-bounded-lhs-2-historically;baseline;0.583;0.503;0.021;0.25408;0.407065
trigger-a-bounded-lhs-2-historically;2n;1.232;1.197;0.025;0.627387;0.983914
trigger-a-bounded-lhs-2-historically;2l;1.720;1.673;0.037;1.13319;1.48789
trigger-a-bounded-lhs-2-historically;4n;3.850;3.800;0.038;2.36391;3.23706
trigger-a-bounded-lhs-2-historically;4l;4.917;4.844;0.064;3.25216;4.35275
trigger-a-bounded-lhs-2-historically;8n;8.360;8.290;0.053;5.05492;6.85588
trigger-a-bounded-lhs-2-historically;8l;19.547;19.356;0.156;13.8426;18.5124
trigger-a-bounded-lhs-2-historically;16n;16.825;16.708;0.099;9.75621;13.4875
trigger-a-bounded-lhs-2-historically;16l;69.274;68.625;0.331;61.6636;65.1632
trigger-a-bounded-lhs-2-historically;baseline;0.495;0.463;0.023;0.237505;0.376862
trigger-a-bounded-lhs-2-historically;2n;1.311;1.265;0.032;0.682974;1.0483
trigger-a-bounded-lhs-2-historically;2l;2.146;2.051;0.051;1.39794;1.87777
trigger-a-bounded-lhs-2-historically;4n;4.138;4.073;0.049;2.56119;3.49107
trigger-a-bounded-lhs-2-historically;4l;5.562;5.400;0.080;3.6639;4.90944
trigger-a-bounded-lhs-2-historically;8n;8.291;8.208;0.067;4.93793;6.73087
trigger-a-bounded-lhs-2-historically;8l;18.849;18.686;0.135;13.3389;17.8518
trigger-a-bounded-lhs-2-historically;16n;18.118;17.938;0.134;10.3273;14.3678
trigger-a-bounded-lhs-2-historically;16l;72.760;72.167;0.354;64.9575;68.5664
trigger-a-bounded-lhs-2-historically;baseline;0.507;0.476;0.025;0.242441;0.386198
trigger-a-bounded-lhs-2-historically;2n;1.255;1.217;0.032;0.647665;0.999266
trigger-a-bounded-lhs-2-historically;2l;1.784;1.735;0.040;1.15652;1.54408
trigger-a-bounded-lhs-2-historically;4n;3.993;3.934;0.042;2.46344;3.34938
trigger-a-bounded-lhs-2-historically;4l;4.868;4.796;0.061;3.18776;4.30087
trigger-a-bounded-lhs-2-historically;8n;8.170;8.102;0.053;4.90454;6.68342
trigger-a-bounded-lhs-2-historically;8l;20.004;19.765;0.172;14.0465;18.9456
trigger-a-bounded-lhs-2-historically;16n;16.787;16.674;0.093;9.72979;13.4478
trigger-a-bounded-lhs-2-historically;16l;68.977;68.578;0.317;61.4416;64.9461
trigger-a-bounded-lhs-2-historically;baseline;0.467;0.438;0.020;0.219159;0.350097
trigger-a-bounded-lhs-2-historically;2n;1.199;1.162;0.026;0.613171;0.94673
trigger-a-bounded-lhs-2-historically;2l;1.676;1.633;0.036;1.08492;1.44495
trigger-a-bounded-lhs-2-historically;4n;3.838;3.789;0.037;2.37369;3.23083
trigger-a-bounded-lhs-2-historically;4l;4.996;4.916;0.064;3.26819;4.41751
trigger-a-bounded-lhs-2-historically;8n;8.173;8.103;0.058;4.91249;6.65853
trigger-a-bounded-lhs-2-historically;8l;19.912;19.696;0.168;14.1542;18.8597
trigger-a-bounded-lhs-2-historically;16n;17.236;17.096;0.107;9.93552;13.8604
trigger-a-bounded-lhs-2-historically;16l;71.799;71.223;0.421;64.0846;67.6454
trigger-a-bounded-lhs-2-historically;baseline;0.500;0.468;0.023;0.239101;0.378138
trigger-a-bounded-lhs-2-historically;2n;1.336;1.292;0.035;0.700106;1.06868
trigger-a-bounded-lhs-2-historically;2l;1.879;1.826;0.046;1.23294;1.63189
trigger-a-bounded-lhs-2-historically;4n;4.006;3.944;0.049;2.47392;3.36962
trigger-a-bounded-lhs-2-historically;4l;4.917;4.833;0.065;3.23242;4.33871
trigger-a-bounded-lhs-2-historically;8n;8.196;8.117;0.063;4.90113;6.6826
trigger-a-bounded-lhs-2-historically;8l;18.614;18.451;0.136;13.2012;17.6144
trigger-a-bounded-lhs-2-historically;16n;16.720;16.602;0.091;9.77053;13.3898
trigger-a-bounded-lhs-2-historically;16l;69.182;68.742;0.347;61.6734;65.1501
trigger-a-bounded-lhs-2-historically;baseline;0.474;0.445;0.023;0.226932;0.360048
trigger-a-bounded-lhs-2-historically;2n;1.200;1.165;0.027;0.60949;0.950737
trigger-a-bounded-lhs-2-historically;2l;1.810;1.759;0.043;1.18436;1.56477
trigger-a-bounded-lhs-2-historically;4n;3.766;3.715;0.040;2.31253;3.15431
trigger-a-bounded-lhs-2-historically;4l;4.877;4.803;0.062;3.20736;4.31494
trigger-a-bounded-lhs-2-historically;8n;8.209;8.134;0.062;4.95325;6.71009
trigger-a-bounded-lhs-2-historically;8l;18.755;18.569;0.144;13.3891;17.7449
trigger-a-bounded-lhs-2-historically;16n;16.521;16.405;0.090;9.641;13.2652
trigger-a-bounded-lhs-2-historically;16l;68.703;68.312;0.321;61.2789;64.6956
trigger-a-bounded-lhs-2-historically;baseline;0.488;0.458;0.025;0.229838;0.367613
trigger-a-bounded-lhs-2-historically;2n;1.183;1.145;0.028;0.598021;0.93037
trigger-a-bounded-lhs-2-historically;2l;1.694;1.642;0.041;1.08474;1.45203
trigger-a-bounded-lhs-2-historically;4n;3.874;3.825;0.036;2.39459;3.26318
trigger-a-bounded-lhs-2-historically;4l;5.015;4.932;0.075;3.28967;4.44631
trigger-a-bounded-lhs-2-historically;8n;8.293;8.213;0.060;4.97603;6.75998
trigger-a-bounded-lhs-2-historically;8l;18.976;18.821;0.133;13.4402;17.9624
trigger-a-bounded-lhs-2-historically;16n;17.416;17.261;0.116;10.0246;13.9725
trigger-a-bounded-lhs-2-historically;16l;70.284;69.817;0.336;62.5645;66.1043
trigger-a-bounded-lhs-2-historically;baseline;0.504;0.471;0.028;0.239994;0.381388
trigger-a-bounded-lhs-2-historically;2n;1.194;1.159;0.026;0.614708;0.948516
trigger-a-bounded-lhs-2-historically;2l;1.656;1.611;0.035;1.07737;1.42797
trigger-a-bounded-lhs-2-historically;4n;3.791;3.743;0.037;2.34954;3.188
trigger-a-bounded-lhs-2-historically;4l;4.869;4.782;0.069;3.18767;4.29337
trigger-a-bounded-lhs-2-historically;8n;8.182;8.111;0.057;4.93922;6.68926
trigger-a-bounded-lhs-2-historically;8l;19.134;18.949;0.156;13.5016;18.0973
trigger-a-bounded-lhs-2-historically;16n;17.117;16.985;0.111;9.87197;13.7568
trigger-a-bounded-lhs-2-historically;16l;69.801;69.354;0.360;62.2871;65.7808
trigger-a-bounded-lhs-2-historically;baseline;0.520;0.490;0.020;0.246989;0.399871
trigger-a-bounded-lhs-2-historically;2n;1.246;1.210;0.025;0.640315;0.996204
trigger-a-bounded-lhs-2-historically;2l;2.008;1.917;0.051;1.31526;1.73318
trigger-a-bounded-lhs-2-historically;4n;4.067;3.994;0.050;2.49651;3.41428
trigger-a-bounded-lhs-2-historically;4l;4.972;4.877;0.064;3.28009;4.39261
trigger-a-bounded-lhs-2-historically;8n;8.089;8.014;0.055;4.83575;6.59153
trigger-a-bounded-lhs-2-historically;8l;19.246;19.066;0.141;13.6139;18.2208
trigger-a-bounded-lhs-2-historically;16n;18.624;16.818;0.115;9.92568;13.5766
trigger-a-bounded-lhs-2-historically;16l;69.492;68.979;0.332;61.8582;65.3303
trigger-a-bounded-lhs-2-once;baseline;0.240;0.214;0.022;0.102492;0.16488
trigger-a-bounded-lhs-2-once;2n;0.585;0.556;0.019;0.283235;0.449388
trigger-a-bounded-lhs-2-once;2l;0.958;0.923;0.026;0.611807;0.814118
trigger-a-bounded-lhs-2-once;4n;1.605;1.483;0.030;0.779897;1.20126
trigger-a-bounded-lhs-2-once;4l;3.106;3.048;0.045;2.42358;2.80709
trigger-a-bounded-lhs-2-once;8n;5.164;5.107;0.046;3.25649;4.39416
trigger-a-bounded-lhs-2-once;8l;13.045;12.927;0.102;11.3794;12.3257
trigger-a-bounded-lhs-2-once;16n;9.371;9.302;0.059;5.78015;7.79734
trigger-a-bounded-lhs-2-once;16l;56.604;56.263;0.278;51.5885;54.09
trigger-a-bounded-lhs-2-once;baseline;0.243;0.218;0.018;0.105757;0.168377
trigger-a-bounded-lhs-2-once;2n;0.539;0.511;0.019;0.257043;0.406998
trigger-a-bounded-lhs-2-once;2l;0.876;0.843;0.029;0.564533;0.739697
trigger-a-bounded-lhs-2-once;4n;1.456;1.420;0.027;0.729228;1.14409
trigger-a-bounded-lhs-2-once;4l;3.068;3.010;0.046;2.40169;2.77447
trigger-a-bounded-lhs-2-once;8n;5.238;5.176;0.050;3.29176;4.45504
trigger-a-bounded-lhs-2-once;8l;12.924;12.794;0.112;11.2506;12.1975
trigger-a-bounded-lhs-2-once;16n;9.508;9.431;0.062;5.85439;7.89544
trigger-a-bounded-lhs-2-once;16l;56.706;56.361;0.280;51.7396;54.2051
trigger-a-bounded-lhs-2-once;baseline;0.234;0.210;0.019;0.098969;0.161961
trigger-a-bounded-lhs-2-once;2n;0.627;0.575;0.023;0.293874;0.46531
trigger-a-bounded-lhs-2-once;2l;0.961;0.883;0.032;0.58564;0.774862
trigger-a-bounded-lhs-2-once;4n;1.462;1.426;0.025;0.744009;1.15061
trigger-a-bounded-lhs-2-once;4l;3.092;3.030;0.049;2.43359;2.7972
trigger-a-bounded-lhs-2-once;8n;5.093;5.038;0.043;3.21059;4.32342
trigger-a-bounded-lhs-2-once;8l;12.805;12.693;0.094;11.1244;12.079
trigger-a-bounded-lhs-2-once;16n;9.405;9.325;0.061;5.89196;7.84636
trigger-a-bounded-lhs-2-once;16l;55.994;55.683;0.259;51.1462;53.528
trigger-a-bounded-lhs-2-once;baseline;0.356;0.321;0.025;0.168105;0.265524
trigger-a-bounded-lhs-2-once;2n;0.653;0.602;0.030;0.306395;0.494351
trigger-a-bounded-lhs-2-once;2l;0.987;0.945;0.035;0.62942;0.836226
trigger-a-bounded-lhs-2-once;4n;1.404;1.370;0.023;0.716805;1.1006
trigger-a-bounded-lhs-2-once;4l;3.043;2.986;0.047;2.3711;2.74674
trigger-a-bounded-lhs-2-once;8n;5.039;4.988;0.038;3.16272;4.28152
trigger-a-bounded-lhs-2-once;8l;12.958;12.828;0.106;11.3249;12.248
trigger-a-bounded-lhs-2-once;16n;9.762;9.677;0.060;5.97946;8.09827
trigger-a-bounded-lhs-2-once;16l;57.607;57.249;0.276;52.593;55.0552
trigger-a-bounded-lhs-2-once;baseline;0.267;0.242;0.015;0.121299;0.191957
trigger-a-bounded-lhs-2-once;2n;0.558;0.528;0.022;0.265712;0.422757
trigger-a-bounded-lhs-2-once;2l;0.984;0.937;0.029;0.626671;0.829443
trigger-a-bounded-lhs-2-once;4n;1.576;1.532;0.032;0.796202;1.24258
trigger-a-bounded-lhs-2-once;4l;3.109;3.047;0.051;2.45139;2.81099
trigger-a-bounded-lhs-2-once;8n;5.107;5.047;0.047;3.2256;4.32784
trigger-a-bounded-lhs-2-once;8l;12.932;12.802;0.096;11.2808;12.2105
trigger-a-bounded-lhs-2-once;16n;9.522;9.433;0.067;5.88416;7.89179
trigger-a-bounded-lhs-2-once;16l;58.368;57.973;0.295;53.2693;55.7638
trigger-a-bounded-lhs-2-once;baseline;0.241;0.217;0.015;0.105449;0.168169
trigger-a-bounded-lhs-2-once;2n;0.611;0.579;0.025;0.302168;0.472823
trigger-a-bounded-lhs-2-once;2l;0.965;0.926;0.027;0.618757;0.817517
trigger-a-bounded-lhs-2-once;4n;1.455;1.420;0.029;0.731321;1.13933
trigger-a-bounded-lhs-2-once;4l;3.076;3.020;0.048;2.42693;2.78343
trigger-a-bounded-lhs-2-once;8n;5.222;5.159;0.049;3.28153;4.43574
