experiment;asymptotic;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time
trigger-0-bounded-lhs-0-historically;baseline;0.334;0.310;0.019;0.256721
trigger-0-bounded-lhs-0-historically;2n;0.784;0.752;0.026;0.636285
trigger-0-bounded-lhs-0-historically;2l;0.663;0.631;0.022;0.523256
trigger-0-bounded-lhs-0-historically;4n;1.777;1.740;0.031;1.40044
trigger-0-bounded-lhs-0-historically;4l;1.330;1.282;0.039;1.07626
trigger-0-bounded-lhs-0-historically;8n;3.937;3.888;0.036;3.02504
trigger-0-bounded-lhs-0-historically;8l;2.771;2.688;0.071;2.27401
trigger-0-bounded-lhs-0-historically;baseline;0.325;0.302;0.014;0.250506
trigger-0-bounded-lhs-0-historically;2n;0.790;0.760;0.020;0.648115
trigger-0-bounded-lhs-0-historically;2l;0.717;0.685;0.023;0.578648
trigger-0-bounded-lhs-0-historically;4n;1.891;1.845;0.034;1.487
trigger-0-bounded-lhs-0-historically;4l;1.500;1.431;0.055;1.22273
trigger-0-bounded-lhs-0-historically;8n;3.984;3.923;0.041;3.05658
trigger-0-bounded-lhs-0-historically;8l;2.733;2.654;0.073;2.23827
trigger-0-bounded-lhs-0-historically;baseline;0.320;0.297;0.014;0.24593
trigger-0-bounded-lhs-0-historically;2n;0.783;0.751;0.026;0.639641
trigger-0-bounded-lhs-0-historically;2l;0.714;0.680;0.027;0.573742
trigger-0-bounded-lhs-0-historically;4n;1.823;1.785;0.027;1.44331
trigger-0-bounded-lhs-0-historically;4l;1.347;1.296;0.042;1.0878
trigger-0-bounded-lhs-0-historically;8n;3.994;3.944;0.041;3.07765
trigger-0-bounded-lhs-0-historically;8l;2.650;2.570;0.066;2.16733
trigger-0-bounded-lhs-0-historically;baseline;0.344;0.319;0.017;0.266457
trigger-0-bounded-lhs-0-historically;2n;0.769;0.738;0.026;0.624428
trigger-0-bounded-lhs-0-historically;2l;0.695;0.663;0.027;0.558596
trigger-0-bounded-lhs-0-historically;4n;1.845;1.806;0.029;1.47032
trigger-0-bounded-lhs-0-historically;4l;1.378;1.323;0.040;1.11551
trigger-0-bounded-lhs-0-historically;8n;3.880;3.832;0.035;2.97845
trigger-0-bounded-lhs-0-historically;8l;2.636;2.551;0.073;2.15023
trigger-0-bounded-lhs-0-historically;baseline;0.345;0.320;0.015;0.265749
trigger-0-bounded-lhs-0-historically;2n;0.765;0.731;0.024;0.616199
trigger-0-bounded-lhs-0-historically;2l;0.696;0.645;0.024;0.538938
trigger-0-bounded-lhs-0-historically;4n;1.817;1.777;0.027;1.44682
trigger-0-bounded-lhs-0-historically;4l;1.328;1.279;0.038;1.07325
trigger-0-bounded-lhs-0-historically;8n;3.935;3.886;0.037;3.01443
trigger-0-bounded-lhs-0-historically;8l;2.695;2.614;0.066;2.20165
trigger-0-bounded-lhs-0-historically;baseline;0.319;0.295;0.018;0.244287
trigger-0-bounded-lhs-0-historically;2n;0.761;0.730;0.026;0.617418
trigger-0-bounded-lhs-0-historically;2l;0.653;0.620;0.023;0.516389
trigger-0-bounded-lhs-0-historically;4n;1.765;1.730;0.028;1.39893
trigger-0-bounded-lhs-0-historically;4l;1.365;1.318;0.041;1.11212
trigger-0-bounded-lhs-0-historically;8n;3.908;3.856;0.037;3.00189
trigger-0-bounded-lhs-0-historically;8l;2.639;2.559;0.071;2.15648
trigger-0-bounded-lhs-0-historically;baseline;0.328;0.303;0.021;0.251568
trigger-0-bounded-lhs-0-historically;2n;0.763;0.733;0.020;0.624
trigger-0-bounded-lhs-0-historically;2l;0.648;0.616;0.023;0.512132
trigger-0-bounded-lhs-0-historically;4n;1.721;1.684;0.026;1.34945
trigger-0-bounded-lhs-0-historically;4l;1.342;1.292;0.039;1.08526
trigger-0-bounded-lhs-0-historically;8n;3.854;3.806;0.036;2.9536
trigger-0-bounded-lhs-0-historically;8l;2.767;2.657;0.071;2.24626
trigger-0-bounded-lhs-0-historically;baseline;0.331;0.306;0.019;0.253757
trigger-0-bounded-lhs-0-historically;2n;0.757;0.728;0.020;0.61661
