experiment;asymptotic;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time
trigger-a-bounded-lhs-2-historically;baseline;1.451;1.411;0.033;1.4066
trigger-a-bounded-lhs-2-historically;2n;2.732;2.687;0.031;2.6742
trigger-a-bounded-lhs-2-historically;2l;5.086;5.013;0.061;5.02563
trigger-a-bounded-lhs-2-historically;4n;6.209;6.136;0.063;6.10567
trigger-a-bounded-lhs-2-historically;4l;21.555;21.334;0.202;21.4507
trigger-a-bounded-lhs-2-historically;8n;12.584;12.466;0.105;12.3711
trigger-a-bounded-lhs-2-historically;8l;88.109;87.354;0.698;87.8257
trigger-a-bounded-lhs-2-historically;baseline;1.077;1.045;0.021;1.03966
trigger-a-bounded-lhs-2-historically;2n;2.437;2.395;0.030;2.38355
trigger-a-bounded-lhs-2-historically;2l;4.512;4.446;0.056;4.45888
trigger-a-bounded-lhs-2-historically;4n;5.455;5.387;0.058;5.35579
trigger-a-bounded-lhs-2-historically;4l;19.945;19.758;0.177;19.8438
trigger-a-bounded-lhs-2-historically;8n;12.632;12.517;0.101;12.4236
trigger-a-bounded-lhs-2-historically;8l;86.602;85.874;0.695;86.3504
trigger-a-bounded-lhs-2-historically;baseline;1.092;1.060;0.026;1.05452
trigger-a-bounded-lhs-2-historically;2n;2.423;2.382;0.036;2.37037
trigger-a-bounded-lhs-2-historically;2l;4.482;4.417;0.050;4.42692
trigger-a-bounded-lhs-2-historically;4n;5.421;5.339;0.062;5.30546
trigger-a-bounded-lhs-2-historically;4l;19.973;19.785;0.173;19.8686
trigger-a-bounded-lhs-2-historically;8n;13.636;13.510;0.117;13.4089
trigger-a-bounded-lhs-2-historically;8l;92.925;92.154;0.733;92.6664
trigger-a-bounded-lhs-2-historically;baseline;1.083;1.051;0.025;1.04631
trigger-a-bounded-lhs-2-historically;2n;2.418;2.374;0.031;2.3628
trigger-a-bounded-lhs-2-historically;2l;4.551;4.485;0.058;4.49593
trigger-a-bounded-lhs-2-historically;4n;5.596;5.529;0.051;5.50132
trigger-a-bounded-lhs-2-historically;4l;19.855;19.667;0.176;19.7469
trigger-a-bounded-lhs-2-historically;8n;12.504;12.385;0.102;12.2896
trigger-a-bounded-lhs-2-historically;8l;86.575;85.845;0.684;86.3011
trigger-a-bounded-lhs-2-historically;baseline;1.067;1.036;0.024;1.03015
trigger-a-bounded-lhs-2-historically;2n;2.426;2.384;0.032;2.37372
trigger-a-bounded-lhs-2-historically;2l;4.555;4.486;0.057;4.49777
trigger-a-bounded-lhs-2-historically;4n;5.398;5.333;0.049;5.30357
trigger-a-bounded-lhs-2-historically;4l;19.923;19.739;0.161;19.8212
trigger-a-bounded-lhs-2-historically;8n;12.517;12.400;0.096;12.3054
trigger-a-bounded-lhs-2-historically;8l;86.596;85.876;0.683;86.3436
trigger-a-bounded-lhs-2-historically;baseline;1.091;1.059;0.025;1.05326
trigger-a-bounded-lhs-2-historically;2n;2.415;2.370;0.033;2.35903
trigger-a-bounded-lhs-2-historically;2l;4.515;4.444;0.058;4.45679
trigger-a-bounded-lhs-2-historically;4n;5.542;5.476;0.049;5.44731
trigger-a-bounded-lhs-2-historically;4l;20.505;20.286;0.182;20.3838
trigger-a-bounded-lhs-2-historically;8n;12.349;12.229;0.105;12.1409
trigger-a-bounded-lhs-2-historically;8l;84.960;84.249;0.671;84.7208
trigger-a-bounded-lhs-2-historically;baseline;1.046;1.015;0.019;1.0094
trigger-a-bounded-lhs-2-historically;2n;2.403;2.362;0.034;2.35098
trigger-a-bounded-lhs-2-historically;2l;4.455;4.394;0.050;4.40152
trigger-a-bounded-lhs-2-historically;4n;5.318;5.236;0.058;5.20457
trigger-a-bounded-lhs-2-historically;4l;19.991;19.810;0.167;19.8892
trigger-a-bounded-lhs-2-historically;8n;12.307;12.173;0.093;12.0716
trigger-a-bounded-lhs-2-historically;8l;86.523;85.791;0.687;86.2359
trigger-a-bounded-lhs-2-historically;baseline;1.086;1.056;0.024;1.05144
trigger-a-bounded-lhs-2-historically;2n;2.362;2.319;0.033;2.30735
trigger-a-bounded-lhs-2-historically;2l;4.493;4.431;0.052;4.44021
trigger-a-bounded-lhs-2-historically;4n;5.314;5.251;0.047;5.22112
trigger-a-bounded-lhs-2-historically;4l;19.885;19.698;0.172;19.7827
trigger-a-bounded-lhs-2-historically;8n;12.080;11.970;0.093;11.8789
trigger-a-bounded-lhs-2-historically;8l;85.342;84.648;0.666;85.0905
trigger-a-bounded-lhs-2-historically;baseline;1.061;1.030;0.024;1.02545
trigger-a-bounded-lhs-2-historically;2n;2.410;2.369;0.029;2.35697
trigger-a-bounded-lhs-2-historically;2l;4.406;4.341;0.057;4.35115
trigger-a-bounded-lhs-2-historically;4n;5.298;5.235;0.054;5.19995
trigger-a-bounded-lhs-2-historically;4l;19.526;19.344;0.168;19.4249
trigger-a-bounded-lhs-2-historically;8n;12.178;12.066;0.097;11.9736
trigger-a-bounded-lhs-2-historically;8l;84.516;83.826;0.662;84.2657
