experiment;asymptotic;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time
trigger-0-bounded-lhs-0-historically;baseline;1.514;1.447;0.051;1.23482
trigger-0-bounded-lhs-0-historically;2n;3.589;3.436;0.071;2.96765
trigger-0-bounded-lhs-0-historically;2l;2.693;2.609;0.070;2.19693
trigger-0-bounded-lhs-0-historically;4n;7.300;7.175;0.093;5.78772
trigger-0-bounded-lhs-0-historically;4l;5.581;5.439;0.124;4.645
trigger-0-bounded-lhs-0-historically;baseline;1.303;1.250;0.044;1.04743
trigger-0-bounded-lhs-0-historically;2n;3.310;3.235;0.062;2.7788
trigger-0-bounded-lhs-0-historically;2l;2.803;2.719;0.071;2.30303
trigger-0-bounded-lhs-0-historically;4n;7.031;6.934;0.087;5.57728
trigger-0-bounded-lhs-0-historically;4l;5.335;5.182;0.121;4.37465
trigger-0-bounded-lhs-0-historically;baseline;1.306;1.253;0.045;1.05023
trigger-0-bounded-lhs-0-historically;2n;3.302;3.233;0.060;2.77767
trigger-0-bounded-lhs-0-historically;2l;2.675;2.595;0.071;2.18676
trigger-0-bounded-lhs-0-historically;4n;7.114;7.019;0.084;5.64906
trigger-0-bounded-lhs-0-historically;4l;5.610;5.465;0.126;4.66601
trigger-0-bounded-lhs-0-historically;baseline;1.360;1.314;0.037;1.11052
trigger-0-bounded-lhs-0-historically;2n;3.307;3.239;0.060;2.77448
trigger-0-bounded-lhs-0-historically;2l;2.645;2.566;0.065;2.15672
trigger-0-bounded-lhs-0-historically;4n;7.681;6.958;0.078;5.58561
trigger-0-bounded-lhs-0-historically;4l;5.292;5.155;0.121;4.35014
trigger-0-bounded-lhs-0-historically;baseline;1.306;1.258;0.042;1.05897
trigger-0-bounded-lhs-0-historically;2n;3.262;3.195;0.055;2.74521
trigger-0-bounded-lhs-0-historically;2l;2.773;2.688;0.071;2.27625
trigger-0-bounded-lhs-0-historically;4n;7.129;7.034;0.085;5.65501
trigger-0-bounded-lhs-0-historically;4l;5.637;5.476;0.126;4.67007
trigger-0-bounded-lhs-0-historically;baseline;1.346;1.297;0.040;1.09013
trigger-0-bounded-lhs-0-historically;2n;3.184;3.110;0.064;2.6504
trigger-0-bounded-lhs-0-historically;2l;2.682;2.597;0.069;2.18571
trigger-0-bounded-lhs-0-historically;4n;7.137;7.039;0.083;5.65077
trigger-0-bounded-lhs-0-historically;4l;5.322;5.182;0.124;4.38226
trigger-0-bounded-lhs-0-historically;baseline;1.404;1.355;0.038;1.15028
trigger-0-bounded-lhs-0-historically;2n;3.141;3.072;0.054;2.61223
trigger-0-bounded-lhs-0-historically;2l;2.850;2.725;0.068;2.31538
trigger-0-bounded-lhs-0-historically;4n;7.421;7.324;0.085;5.95161
trigger-0-bounded-lhs-0-historically;4l;5.388;5.237;0.125;4.42286
trigger-0-bounded-lhs-0-historically;baseline;1.389;1.343;0.037;1.13608
trigger-0-bounded-lhs-0-historically;2n;3.151;3.078;0.058;2.6232
trigger-0-bounded-lhs-0-historically;2l;2.802;2.719;0.075;2.30333
trigger-0-bounded-lhs-0-historically;4n;7.318;7.223;0.080;5.85693
trigger-0-bounded-lhs-0-historically;4l;5.371;5.200;0.127;4.40041
trigger-0-bounded-lhs-0-historically;baseline;1.301;1.252;0.039;1.04982
trigger-0-bounded-lhs-0-historically;2n;3.266;3.193;0.062;2.73568
trigger-0-bounded-lhs-0-historically;2l;2.652;2.569;0.067;2.16181
trigger-0-bounded-lhs-0-historically;4n;7.030;6.933;0.080;5.5755
trigger-0-bounded-lhs-0-historically;4l;5.314;5.177;0.125;4.38089
trigger-0-bounded-lhs-0-historically;baseline;1.372;1.321;0.044;1.11694
trigger-0-bounded-lhs-0-historically;2n;3.116;3.047;0.061;2.59116
trigger-0-bounded-lhs-0-historically;2l;2.698;2.581;0.070;2.1728
trigger-0-bounded-lhs-0-historically;4n;7.476;7.382;0.081;6.01754
trigger-0-bounded-lhs-0-historically;4l;5.296;5.155;0.124;4.3531
trigger-0-bounded-lhs-0-since;baseline;0.985;0.945;0.033;0.806981
trigger-0-bounded-lhs-0-since;2n;2.136;2.080;0.048;1.8011
trigger-0-bounded-lhs-0-since;2l;1.873;1.807;0.057;1.55475
trigger-0-bounded-lhs-0-since;4n;5.189;5.112;0.064;4.37688
trigger-0-bounded-lhs-0-since;4l;3.563;3.513;0.041;3.02438
trigger-0-bounded-lhs-0-since;baseline;0.945;0.904;0.031;0.768263
trigger-0-bounded-lhs-0-since;2n;2.211;2.117;0.046;1.83301
trigger-0-bounded-lhs-0-since;2l;1.797;1.730;0.057;1.4741
trigger-0-bounded-lhs-0-since;4n;5.203;5.123;0.066;4.3924
trigger-0-bounded-lhs-0-since;4l;3.564;3.516;0.039;3.0265
