experiment;asymptotic;native real time;native user time;native sys time;native trigger time;native meval time
trigger-0-bounded-lhs-0-historically;baseline;5.197;5.069;0.110;0.945654;2.61397
trigger-0-bounded-lhs-0-historically;2n;11.596;11.410;0.158;2.47315;5.59127
trigger-0-bounded-lhs-0-historically;2l;10.389;10.161;0.189;1.93041;5.0836
trigger-0-bounded-lhs-0-historically;4n;25.125;24.829;0.274;5.83016;12.0015
trigger-0-bounded-lhs-0-historically;4l;21.018;20.625;0.353;3.88506;10.5329
trigger-0-bounded-lhs-0-historically;baseline;5.168;5.045;0.105;0.976113;2.5939
trigger-0-bounded-lhs-0-historically;2n;11.321;11.130;0.162;2.31742;5.26913
trigger-0-bounded-lhs-0-historically;2l;10.426;10.217;0.189;1.94712;5.2144
trigger-0-bounded-lhs-0-historically;4n;25.370;25.074;0.271;5.91861;12.204
trigger-0-bounded-lhs-0-historically;4l;20.820;20.383;0.359;3.7731;10.3198
trigger-0-bounded-lhs-0-historically;baseline;5.141;5.020;0.106;0.920617;2.58487
trigger-0-bounded-lhs-0-historically;2n;11.504;11.315;0.163;2.32548;5.46533
trigger-0-bounded-lhs-0-historically;2l;10.311;10.076;0.196;1.87099;5.01996
trigger-0-bounded-lhs-0-historically;4n;25.229;24.939;0.273;5.82668;12.0274
trigger-0-bounded-lhs-0-historically;4l;21.223;20.819;0.361;3.79263;10.7139
trigger-0-bounded-lhs-0-historically;baseline;5.066;4.954;0.097;0.922959;2.50018
trigger-0-bounded-lhs-0-historically;2n;11.347;11.162;0.157;2.35308;5.28475
trigger-0-bounded-lhs-0-historically;2l;10.328;10.116;0.192;1.91175;5.07388
trigger-0-bounded-lhs-0-historically;4n;25.732;25.439;0.271;5.85561;12.5709
trigger-0-bounded-lhs-0-historically;4l;20.819;20.381;0.365;3.73431;10.3314
trigger-0-bounded-lhs-0-historically;baseline;5.311;5.192;0.102;1.01438;2.7146
trigger-0-bounded-lhs-0-historically;2n;11.316;11.123;0.162;2.30896;5.22774
trigger-0-bounded-lhs-0-historically;2l;10.494;10.248;0.191;1.95565;5.15457
trigger-0-bounded-lhs-0-historically;4n;25.805;25.515;0.271;5.94189;12.5615
trigger-0-bounded-lhs-0-historically;4l;21.075;20.686;0.359;3.83438;10.4298
trigger-0-bounded-lhs-0-historically;baseline;5.169;5.021;0.101;0.964572;2.56599
trigger-0-bounded-lhs-0-historically;2n;11.241;11.056;0.161;2.30041;5.23485
trigger-0-bounded-lhs-0-historically;2l;10.313;10.098;0.188;1.91133;5.06582
trigger-0-bounded-lhs-0-historically;4n;25.267;24.970;0.277;5.85721;12.1186
trigger-0-bounded-lhs-0-historically;4l;21.453;21.010;0.371;3.87421;10.8684
trigger-0-bounded-lhs-0-historically;baseline;5.036;4.917;0.103;0.935892;2.50432
trigger-0-bounded-lhs-0-historically;2n;11.213;11.033;0.155;2.35805;5.29706
trigger-0-bounded-lhs-0-historically;2l;10.164;9.925;0.191;1.8482;4.93
trigger-0-bounded-lhs-0-historically;4n;24.752;24.473;0.255;5.75579;11.8306
trigger-0-bounded-lhs-0-historically;4l;21.170;20.791;0.354;3.75664;10.6608
trigger-0-bounded-lhs-0-historically;baseline;5.092;4.950;0.104;0.938584;2.52091
trigger-0-bounded-lhs-0-historically;2n;11.169;10.990;0.154;2.22605;5.26537
trigger-0-bounded-lhs-0-historically;2l;10.100;9.883;0.188;1.84227;4.92213
trigger-0-bounded-lhs-0-historically;4n;25.162;24.843;0.270;5.6888;12.2564
trigger-0-bounded-lhs-0-historically;4l;21.096;20.673;0.352;3.80331;10.632
trigger-0-bounded-lhs-0-historically;baseline;5.066;4.943;0.107;0.907714;2.53208
trigger-0-bounded-lhs-0-historically;2n;11.011;10.823;0.160;2.22173;5.07111
trigger-0-bounded-lhs-0-historically;2l;10.143;9.914;0.185;1.8506;4.94742
trigger-0-bounded-lhs-0-historically;4n;24.982;24.704;0.257;5.84218;12.0433
trigger-0-bounded-lhs-0-historically;4l;20.983;20.603;0.355;3.76556;10.6442
trigger-0-bounded-lhs-0-historically;baseline;5.184;5.067;0.096;0.94931;2.61535
trigger-0-bounded-lhs-0-historically;2n;11.137;10.956;0.158;2.26139;5.15449
trigger-0-bounded-lhs-0-historically;2l;10.403;10.185;0.192;1.86415;5.14945
trigger-0-bounded-lhs-0-historically;4n;25.427;25.097;0.271;5.75615;12.3921
trigger-0-bounded-lhs-0-historically;4l;20.687;20.256;0.361;3.73378;10.2285
trigger-0-bounded-lhs-0-since;baseline;3.419;3.329;0.080;0.580631;1.93668
trigger-0-bounded-lhs-0-since;2n;7.392;7.256;0.117;1.29039;3.47751
trigger-0-bounded-lhs-0-since;2l;6.805;6.648;0.149;1.17306;3.78296
trigger-0-bounded-lhs-0-since;4n;16.801;16.568;0.210;3.43977;7.83394
trigger-0-bounded-lhs-0-since;4l;13.484;13.317;0.149;2.27188;7.70805
trigger-0-bounded-lhs-0-since;baseline;3.377;3.257;0.075;0.565717;1.88363
trigger-0-bounded-lhs-0-since;2n;7.572;7.439;0.122;1.37384;3.68381
trigger-0-bounded-lhs-0-since;2l;6.786;6.622;0.155;1.14177;3.76997
trigger-0-bounded-lhs-0-since;4n;16.498;16.282;0.201;3.24999;7.571
trigger-0-bounded-lhs-0-since;4l;13.511;13.344;0.158;2.27335;7.68048
trigger-0-bounded-lhs-0-since;baseline;3.334;3.242;0.074;0.548856;1.86904
trigger-0-bounded-lhs-0-since;2n;7.358;7.223;0.127;1.2653;3.46615
trigger-0-bounded-lhs-0-since;2l;7.030;6.842;0.148;1.18937;3.95079
trigger-0-bounded-lhs-0-since;4n;16.737;16.512;0.204;3.37656;7.74529
trigger-0-bounded-lhs-0-since;4l;13.609;13.434;0.160;2.30396;7.67102
trigger-0-bounded-lhs-0-since;baseline;3.467;3.379;0.082;0.577338;1.98573
trigger-0-bounded-lhs-0-since;2n;8.622;7.787;0.135;1.48668;3.91024
trigger-0-bounded-lhs-0-since;2l;6.971;6.796;0.142;1.18512;3.92063
trigger-0-bounded-lhs-0-since;4n;16.990;16.772;0.208;3.31701;8.00005
trigger-0-bounded-lhs-0-since;4l;13.737;13.569;0.156;2.24697;7.93992
trigger-0-bounded-lhs-0-since;baseline;3.371;3.279;0.079;0.565016;1.8828
trigger-0-bounded-lhs-0-since;2n;7.507;7.352;0.127;1.36448;3.59078
trigger-0-bounded-lhs-0-since;2l;6.837;6.681;0.143;1.17726;3.81029
trigger-0-bounded-lhs-0-since;4n;17.152;16.934;0.202;3.46534;8.12486
trigger-0-bounded-lhs-0-since;4l;13.412;13.245;0.149;2.21703;7.60292
trigger-0-bounded-lhs-0-since;baseline;3.350;3.259;0.078;0.55475;1.87699
trigger-0-bounded-lhs-0-since;2n;7.428;7.295;0.121;1.34369;3.54932
trigger-0-bounded-lhs-0-since;2l;6.943;6.778;0.155;1.15607;3.88731
trigger-0-bounded-lhs-0-since;4n;16.757;16.543;0.199;3.41484;7.77999
trigger-0-bounded-lhs-0-since;4l;15.826;15.548;0.224;2.85866;9.15746
trigger-0-bounded-lhs-0-since;baseline;3.512;3.416;0.082;0.581873;2.00448
trigger-0-bounded-lhs-0-since;2n;7.488;7.346;0.119;1.30197;3.52079
trigger-0-bounded-lhs-0-since;2l;6.830;6.673;0.141;1.17536;3.79908
trigger-0-bounded-lhs-0-since;4n;16.620;16.403;0.202;3.36044;7.70824
trigger-0-bounded-lhs-0-since;4l;13.480;13.311;0.161;2.24554;7.65722
trigger-0-bounded-lhs-0-since;baseline;3.357;3.269;0.080;0.567674;1.88349
trigger-0-bounded-lhs-0-since;2n;7.509;7.360;0.122;1.37181;3.5974
trigger-0-bounded-lhs-0-since;2l;6.765;6.604;0.141;1.14929;3.76833
trigger-0-bounded-lhs-0-since;4n;16.580;16.362;0.200;3.28002;7.65756
trigger-0-bounded-lhs-0-since;4l;13.762;13.590;0.162;2.29853;7.95474
trigger-0-bounded-lhs-0-since;baseline;3.457;3.362;0.082;0.58878;1.98086
trigger-0-bounded-lhs-0-since;2n;7.387;7.251;0.121;1.28071;3.46678
trigger-0-bounded-lhs-0-since;2l;6.786;6.628;0.144;1.17011;3.79458
trigger-0-bounded-lhs-0-since;4n;16.898;16.663;0.209;3.34364;7.92402
trigger-0-bounded-lhs-0-since;4l;13.724;13.557;0.153;2.23637;7.91916
trigger-0-bounded-lhs-0-since;baseline;3.490;3.376;0.083;0.604684;1.99966
trigger-0-bounded-lhs-0-since;2n;7.497;7.365;0.123;1.27775;3.59371
trigger-0-bounded-lhs-0-since;2l;6.787;6.625;0.144;1.14495;3.76846
trigger-0-bounded-lhs-0-since;4n;16.570;16.348;0.206;3.26687;7.65408
trigger-0-bounded-lhs-0-since;4l;13.411;13.243;0.147;2.22014;7.64587
trigger-0-bounded-lhs-1-historically;baseline;7.340;7.196;0.123;1.29125;3.23498
trigger-0-bounded-lhs-1-historically;2n;16.495;16.240;0.186;3.14364;7.23511
trigger-0-bounded-lhs-1-historically;2l;14.781;14.520;0.233;2.58876;6.51705
trigger-0-bounded-lhs-1-historically;4n;36.503;36.142;0.308;7.47116;16.1066
trigger-0-bounded-lhs-1-historically;4l;29.625;29.119;0.446;4.97326;12.7859
trigger-0-bounded-lhs-1-historically;baseline;7.447;7.295;0.120;1.28114;3.25249
trigger-0-bounded-lhs-1-historically;2n;17.685;17.475;0.183;3.47647;8.04265
trigger-0-bounded-lhs-1-historically;2l;14.616;14.355;0.227;2.50205;6.3898
trigger-0-bounded-lhs-1-historically;4n;36.689;36.309;0.327;7.49924;16.1893
trigger-0-bounded-lhs-1-historically;4l;30.546;30.037;0.436;5.16898;13.6072
trigger-0-bounded-lhs-1-historically;baseline;7.469;7.326;0.121;1.289;3.33591
trigger-0-bounded-lhs-1-historically;2n;16.383;16.103;0.179;3.08159;7.1603
trigger-0-bounded-lhs-1-historically;2l;14.572;14.311;0.224;2.49724;6.38815
trigger-0-bounded-lhs-1-historically;4n;36.359;36.016;0.318;7.59664;16.1628
trigger-0-bounded-lhs-1-historically;4l;30.625;30.135;0.439;5.54473;13.8517
trigger-0-bounded-lhs-1-historically;baseline;7.286;7.142;0.121;1.26433;3.19185
trigger-0-bounded-lhs-1-historically;2n;16.590;16.354;0.180;3.18282;7.46994
trigger-0-bounded-lhs-1-historically;2l;14.659;14.404;0.226;2.53903;6.42694
trigger-0-bounded-lhs-1-historically;4n;37.622;37.275;0.324;8.10578;17.4078
trigger-0-bounded-lhs-1-historically;4l;29.667;29.154;0.449;5.01977;12.8765
trigger-0-bounded-lhs-1-historically;baseline;7.417;7.275;0.124;1.2484;3.29016
trigger-0-bounded-lhs-1-historically;2n;16.862;16.652;0.171;3.37631;7.74368
trigger-0-bounded-lhs-1-historically;2l;15.167;14.904;0.232;2.73635;6.8961
trigger-0-bounded-lhs-1-historically;4n;36.266;35.903;0.312;7.38858;16.095
trigger-0-bounded-lhs-1-historically;4l;29.538;29.032;0.442;4.98072;12.7745
trigger-0-bounded-lhs-1-historically;baseline;7.421;7.239;0.122;1.29675;3.24202
trigger-0-bounded-lhs-1-historically;2n;16.912;16.702;0.182;3.42292;7.80425
trigger-0-bounded-lhs-1-historically;2l;14.841;14.562;0.224;2.51352;6.61067
trigger-0-bounded-lhs-1-historically;4n;37.206;36.859;0.318;7.49902;16.7988
trigger-0-bounded-lhs-1-historically;4l;30.909;30.398;0.450;5.72385;14.149
trigger-0-bounded-lhs-1-historically;baseline;7.392;7.246;0.124;1.2553;3.27866
trigger-0-bounded-lhs-1-historically;2n;16.439;16.212;0.181;3.12385;7.21099
trigger-0-bounded-lhs-1-historically;2l;15.019;14.714;0.225;2.50028;6.63037
trigger-0-bounded-lhs-1-historically;4n;36.786;36.397;0.323;7.50573;16.2329
