experiment;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time;native real time;native user time;native sys time;native trigger time;native meval time
trigger-0-bounded-lhs-0-historically;6.788;6.651;0.121;5.70996;2.856;2.758;0.085;0.703834;1.72543
trigger-0-bounded-lhs-0-historically;6.839;6.710;0.115;5.75024;3.061;2.949;0.085;0.755728;1.87929
trigger-0-bounded-lhs-0-historically;7.055;6.899;0.138;5.93082;3.031;2.894;0.100;0.73665;1.82917
trigger-0-bounded-lhs-0-historically;6.494;6.371;0.111;5.44928;2.904;2.814;0.079;0.712556;1.75974
trigger-0-bounded-lhs-0-historically;7.309;7.140;0.143;6.16045;3.515;3.380;0.112;0.887401;2.21926
trigger-0-bounded-lhs-0-historically;7.026;6.875;0.137;5.9057;2.953;2.844;0.086;0.733137;1.79711
trigger-0-bounded-lhs-0-historically;7.269;7.128;0.123;6.17108;3.049;2.950;0.091;0.748323;1.87891
trigger-0-bounded-lhs-0-historically;6.877;6.732;0.121;5.79301;2.847;2.758;0.073;0.695543;1.74206
trigger-0-bounded-lhs-0-historically;6.714;6.583;0.110;5.64955;2.822;2.734;0.074;0.696098;1.71047
trigger-0-bounded-lhs-0-historically;6.781;6.649;0.112;5.72354;2.833;2.739;0.081;0.689971;1.72796
trigger-0-bounded-lhs-0-since;4.812;4.710;0.094;4.0668;1.983;1.909;0.059;0.475969;1.20829
trigger-0-bounded-lhs-0-since;4.662;4.565;0.090;3.93053;2.005;1.930;0.061;0.484957;1.21767
trigger-0-bounded-lhs-0-since;4.942;4.825;0.093;4.19306;1.972;1.898;0.062;0.479771;1.1906
trigger-0-bounded-lhs-0-since;4.686;4.589;0.080;3.95121;1.998;1.925;0.061;0.48446;1.20745
trigger-0-bounded-lhs-0-since;4.771;4.674;0.088;4.03472;2.020;1.949;0.061;0.47599;1.24121
trigger-0-bounded-lhs-0-since;4.761;4.664;0.085;4.03437;2.010;1.938;0.060;0.482815;1.2317
trigger-0-bounded-lhs-0-since;4.696;4.598;0.085;3.95446;2.016;1.941;0.066;0.4795;1.23607
trigger-0-bounded-lhs-0-since;4.788;4.686;0.089;4.03756;2.033;1.957;0.066;0.487568;1.24681
trigger-0-bounded-lhs-0-since;4.623;4.528;0.088;3.88815;1.980;1.905;0.065;0.483111;1.19088
trigger-0-bounded-lhs-0-since;5.001;4.904;0.090;4.26698;1.933;1.862;0.062;0.472474;1.16668
trigger-0-bounded-lhs-1-historically;11.255;11.013;0.223;9.4561;4.255;4.076;0.154;0.818617;2.56963
trigger-0-bounded-lhs-1-historically;11.227;10.995;0.224;9.45624;4.372;4.199;0.148;0.836024;2.64966
